LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUS	PASSCAR	TOT	IDX2015	M	2018-06	96.71290308	
AUS	PASSCAR	TOT	IDX2015	M	2018-07	66.42918227	
AUS	PASSCAR	TOT	IDX2015	M	2018-08	71.99771953	
AUS	PASSCAR	TOT	IDX2015	M	2018-09	70.94358356	
AUS	PASSCAR	TOT	IDX2015	M	2018-10	64.69555909	
AUS	PASSCAR	TOT	IDX2015	M	2018-11	68.06507098	
AUS	PASSCAR	TOT	IDX2015	M	2018-12	63.06199739	
AUS	PASSCAR	TOT	IDX2015	M	2019-01	65.27265781	
AUS	PASSCAR	TOT	IDX2015	M	2019-02	63.18067495	E
AUS	PASSCAR	TOT	IDX2015	M	2019-03	67.48099123	
AUS	PASSCAR	TOT	IDX2015	M	2019-04	55.42009335	
AUS	PASSCAR	TOT	IDX2015	M	2019-05	67.22734703	
AUS	PASSCAR	TOT	IDX2015	M	2019-06	78.80189962	
AUS	PASSCAR	TOT	IDX2015	M	2019-07	54.41947863	
AUS	PASSCAR	TOT	IDX2015	M	2019-08	59.99732394	
AUS	PASSCAR	TOT	IDX2015	M	2019-09	57.92628417	
AUS	PASSCAR	TOT	IDX2015	M	2019-10	54.80808947	
AUS	PASSCAR	TOT	IDX2015	M	2019-11	53.57244664	
AUS	PASSCAR	TOT	IDX2015	M	2019-12	60.66517609	E
AUS	PASSCAR	TOT	IDX2015	M	2020-01	47.6897629	
AUS	PASSCAR	TOT	IDX2015	M	2020-02	52.70214453	
AUS	PASSCAR	TOT	IDX2015	M	2020-03	50.67531798	
AUS	PASSCAR	TOT	IDX2015	M	2020-04	21.30843949	
AUS	PASSCAR	TOT	IDX2015	M	2020-05	32.19652383	
AUS	PASSCAR	TOT	IDX2015	M	2020-06	58.25904674	
AUS	PASSCAR	TOT	IDX2015	M	2020-07	42.23292216	
AUS	PASSCAR	TOT	IDX2015	M	2020-08	34.34202795	
AUS	PASSCAR	TOT	IDX2015	M	2020-09	41.23463446	
AUS	PASSCAR	TOT	IDX2015	M	2020-10	41.40683327	
AUS	PASSCAR	TOT	IDX2015	M	2020-11	48.19472428	
AUS	PASSCAR	TOT	IDX2015	M	2020-12	46.48669822	
AUS	PASSCAR	TOT	IDX2015	M	2021-01	43.259134	
AUS	PASSCAR	TOT	IDX2015	M	2021-02	44.66464863	
AUS	PASSCAR	TOT	IDX2015	M	2021-03	49.7049544	
AUS	PASSCAR	TOT	IDX2015	M	2021-04	42.03512623	
AUS	PASSCAR	TOT	IDX2015	M	2021-05	47.04750787	
AUS	PASSCAR	TOT	IDX2015	M	2021-06	54.36130336	
AUS	PASSCAR	TOT	IDX2015	M	2021-07	40.99960635	
